algorithm,distance_m,throughput_mbps,runs
Minstrel-HT,32.000000,8.704022,20
Minstrel-HT,32.250000,9.411764,20
Minstrel-HT,32.500000,9.342464,20
Minstrel-HT,32.750000,9.609415,20
Minstrel-HT,33.000000,10.300097,20
Minstrel-HT,33.250000,10.965797,20
Minstrel-HT,33.500000,11.300910,20
Minstrel-HT,33.750000,11.310005,20
Minstrel-HT,34.000000,11.323625,20
Minstrel-HT,34.250000,11.305460,20
Minstrel-HT,34.500000,11.287280,20
Minstrel-HT,34.750000,11.325900,20
Minstrel-HT,35.000000,11.287285,20
Minstrel-HT,35.250000,11.289565,20
Minstrel-HT,35.500000,11.248675,20
Minstrel-HT,35.750000,11.246405,20
Minstrel-HT,36.000000,11.200955,20
Minstrel-HT,36.250000,11.165740,20
Minstrel-HT,36.500000,11.116895,20
Minstrel-HT,36.750000,10.978300,20
Minstrel-HT,37.000000,10.934005,20
Minstrel-HT,37.250000,10.737475,20
Minstrel-HT,37.500000,10.587520,20
Minstrel-HT,37.750000,10.396665,20
Minstrel-HT,38.000000,10.025191,20
Minstrel-HT,38.250000,9.629870,20
Minstrel-HT,38.500000,9.203872,20
Minstrel-HT,38.750000,8.516592,20
Minstrel-HT,39.000000,7.731616,20
Minstrel-HT,39.250000,6.886432,20
Minstrel-HT,39.500000,5.725440,20
Minstrel-HT,39.750000,4.629200,20
Minstrel-HT,40.000000,4.511056,20
Minstrel-HT,40.250000,5.240368,20
Minstrel-HT,40.500000,5.155168,20
Minstrel-HT,40.750000,5.365328,20
Reinforce,1.500000,58.549440,20
Reinforce,1.750000,59.509365,20
Reinforce,2.000000,59.509365,20
Reinforce,2.250000,59.495735,20
Reinforce,2.500000,59.534350,20
Reinforce,2.750000,59.498000,20
Reinforce,3.000000,59.516175,20
Reinforce,3.250000,59.500275,20
Reinforce,3.500000,59.480965,20
Reinforce,3.750000,59.496870,20
Reinforce,4.000000,59.532080,20
Reinforce,4.250000,59.519595,20
Reinforce,4.500000,59.495720,20
Reinforce,4.750000,59.503690,20
Reinforce,5.000000,59.500280,20
Reinforce,5.250000,59.490045,20
Reinforce,5.500000,59.518450,20
Reinforce,5.750000,59.502545,20
Reinforce,6.000000,59.500275,20
Reinforce,6.250000,59.491185,20
Reinforce,6.500000,59.492310,20
Reinforce,6.750000,59.510505,20
Reinforce,7.000000,59.480955,20
Reinforce,7.250000,59.526415,20
Reinforce,7.500000,59.505950,20
Reinforce,7.750000,59.519585,20
Reinforce,8.000000,59.504820,20
Reinforce,8.250000,59.515040,20
Reinforce,8.500000,59.493460,20
Reinforce,8.750000,59.515040,20
Reinforce,9.000000,59.511630,20
Reinforce,9.250000,59.500275,20
Reinforce,9.500000,59.432100,20
Reinforce,9.750000,59.288975,20
Reinforce,10.000000,58.616465,20
Reinforce,10.250000,57.193045,20
Reinforce,10.500000,54.057700,20
Reinforce,10.750000,53.227285,20
Reinforce,11.000000,52.450260,20
Reinforce,11.250000,51.146135,20
Reinforce,11.500000,48.100500,20
Reinforce,11.750000,47.417770,20
Reinforce,12.000000,47.089465,20
Reinforce,12.250000,46.231800,20
Reinforce,12.500000,44.482355,20
Reinforce,12.750000,39.474855,20
Reinforce,13.000000,35.689705,20
Reinforce,13.250000,35.688570,20
Reinforce,13.500000,35.674945,20
Reinforce,13.750000,35.679480,20
Reinforce,14.000000,35.676065,20
Reinforce,14.250000,35.682900,20
Reinforce,14.500000,35.685160,20
Reinforce,14.750000,35.688570,20
Reinforce,15.000000,35.679490,20
Reinforce,15.250000,35.687425,20
Reinforce,15.500000,35.687430,20
Reinforce,15.750000,35.690835,20
Reinforce,16.000000,35.661310,20
Reinforce,16.250000,35.649955,20
Reinforce,16.500000,35.637455,20
Reinforce,16.750000,35.598825,20
Reinforce,17.000000,35.520435,20
Reinforce,17.250000,35.302335,20
Reinforce,17.500000,34.932000,20
Reinforce,17.750000,34.312885,20
Reinforce,18.000000,33.240490,20
Reinforce,18.250000,31.100275,20
Reinforce,18.500000,25.867860,20
Reinforce,18.750000,23.752615,20
