episode,train_seed,train_throughput_mbps,mean_window_reward,total_reward,windows,packets,partial_windows,updates,loss,return_mean,return_std,return_min,return_max,gradient_norm,parameter_norm_before,parameter_norm_after,exploration_count,action_counts,validation_throughput_mbps,validation_probability,validation_zero_fraction,validation_longest_zero_run,gamma,epsilon,learning_rate,segment_count,segment_mean_throughput_mbps
63,774077,36.25383564102564,12.169386985123339,102709.62615444098,8440,191424,0,1,-0.3662569224834442,12.169386863708496,11.521839141845703,0.0,28.280729293823242,1.1477142572402954,26.01926612854004,26.022123336791992,2554,450 471 468 538 663 977 774 4100,nan,nan,nan,nan,0.99,0.3,0.0001,8440,31.179686048337125
64,774078,20.226626923076925,5.101668751303603,51827.8528444933,10159,227598,0,1,-0.27570316195487976,5.101668834686279,8.904090881347656,0.0,28.28049659729004,0.7921871542930603,26.022123336791992,26.024974822998047,3052,560 611 624 787 905 1293 1009 4371,nan,nan,nan,nan,0.99,0.3,0.0001,10159,14.523057996655949
65,774079,15.08462205128205,3.479714994024367,37622.67851539145,10812,241172,0,1,-0.29759612679481506,3.47971510887146,7.5522871017456055,0.0,28.28071403503418,0.8417054414749146,26.024974822998047,26.027816772460938,3188,608 637 712 856 964 1310 1138 4588,nan,nan,nan,nan,0.99,0.3,0.0001,10812,10.26728998674055
66,774080,31.072808205128204,9.468410978016367,86579.14998298166,9144,207746,0,1,-0.28888124227523804,9.468411445617676,11.35822582244873,0.0,28.280744552612305,0.8058461546897888,26.027816772460938,26.030658721923828,2716,478 500 540 633 698 982 805 4509,nan,nan,nan,nan,0.99,0.3,0.0001,9144,24.393237031923306
67,774081,21.062893589743577,5.48649121182814,55846.99404519864,10179,228810,0,1,-0.2778296172618866,5.486491680145264,10.76401138305664,0.0,529.8145751953125,0.7776758670806885,26.030658721923828,26.033479690551758,3082,553 623 624 726 817 1143 953 4741,nan,nan,nan,nan,0.99,0.3,0.0001,10179,14.956757450289926
68,774082,41.00348282051282,14.510611397145297,119973.73503159732,8268,191390,0,1,-0.2673693597316742,14.510611534118652,11.951881408691406,0.0,28.280744552612305,0.7237810492515564,26.033479690551758,26.03628158569336,2305,357 401 401 490 560 835 676 4549,nan,nan,nan,nan,0.99,0.3,0.0001,8268,35.3228963971679
69,774083,39.61756487179486,13.858363728761994,115648.04531651884,8345,194622,0,1,-0.23811888694763184,13.85836410522461,12.050402641296387,0.0,28.280744552612305,0.6407954692840576,26.03628158569336,26.039060592651367,2489,404 423 405 477 529 758 642 4708,nan,nan,nan,nan,0.99,0.3,0.0001,8345,33.94549755247382
70,774084,45.57165743589744,17.615966298773003,135836.71612983863,7711,181876,0,1,-0.2705678343772888,17.615966796875,11.089221000671387,0.0,28.280744552612305,0.7518664598464966,26.039060592651367,26.041824340820312,2380,341 355 346 411 480 648 568 4563,nan,nan,nan,nan,0.99,0.3,0.0001,7711,42.521144400672455
71,774085,13.318579743589748,3.0212476766139136,33992.05760958314,11251,251117,0,1,-0.19770455360412598,3.021247386932373,7.478362560272217,0.0,28.280683517456055,0.48602932691574097,26.041824340820312,26.044527053833008,3337,588 596 668 811 868 1203 1010 5508,nan,nan,nan,nan,0.99,0.3,0.0001,11251,8.615642805961338
72,774086,19.678143076923078,5.275998633835038,55197.49770718217,10462,239642,0,1,-0.18356481194496155,5.275998592376709,9.616939544677734,0.0,28.280620574951172,0.4583398103713989,26.044527053833008,26.04718017578125,3145,533 570 567 708 750 1038 894 5403,nan,nan,nan,nan,0.99,0.3,0.0001,10462,13.974101975240352
73,774087,34.82510205128206,11.6018586483092,102688.05089618472,8851,208174,0,1,-0.1714552491903305,11.601858139038086,12.143823623657227,0.0,28.280744552612305,0.42644622921943665,26.04718017578125,26.049781799316406,2686,427 397 411 489 612 785 682 5049,nan,nan,nan,nan,0.99,0.3,0.0001,8851,28.57586880245891
74,774088,38.22552358974357,12.943912398078476,110178.58233244398,8512,201832,0,1,-0.18893733620643616,12.943912506103516,12.048337936401367,0.0,28.280744552612305,0.4796712398529053,26.049781799316406,26.05233383178711,2568,379 415 396 470 559 658 612 5024,nan,nan,nan,nan,0.99,0.3,0.0001,8512,32.09137892027516
75,774089,50.77016923076923,21.126707944542353,154626.3754461055,7319,177390,0,1,-0.27451092004776,21.126707077026367,9.33388900756836,0.3425610065460205,28.280744552612305,0.7896560430526733,26.05233383178711,26.054874420166016,2112,316 296 270 276 357 474 421 4910,nan,nan,nan,nan,0.99,0.3,0.0001,7319,49.79802131634779
76,774090,46.17344461538461,17.633315927443185,137134.29796772564,7777,185190,0,1,-0.14608348906040192,17.633317947387695,11.334004402160645,0.0,28.280744552612305,0.3420366644859314,26.054874420166016,26.057350158691406,2339,334 344 360 368 414 541 489 4928,nan,nan,nan,nan,0.99,0.3,0.0001,7777,42.30693127654275
77,774091,25.096569487179487,6.9724772042307,68595.23073522163,9838,230931,0,1,-0.12366992235183716,6.972477912902832,10.535621643066406,0.0,28.280683517456055,0.2864648699760437,26.057350158691406,26.059757232666016,3014,437 495 489 660 689 822 810 5437,nan,nan,nan,nan,0.99,0.3,0.0001,9838,18.360835198624006
78,774092,32.149678717948724,10.343389755598798,95531.54778271049,9236,216532,0,1,-0.11377665400505066,10.343390464782715,12.143180847167969,0.0,28.280744552612305,0.2638767659664154,26.059757232666016,26.062091827392578,2833,461 423 421 532 593 724 655 5428,nan,nan,nan,nan,0.99,0.3,0.0001,9236,25.277342132737747
79,774093,25.053752820512827,7.082150062530265,70191.18926973746,9911,230439,0,1,-0.09465069323778152,7.082149505615234,10.80049991607666,0.0,28.280744552612305,0.2312217801809311,26.062091827392578,26.06435203552246,3047,484 515 504 610 674 855 708 5562,nan,nan,nan,nan,0.99,0.3,0.0001,9911,18.22571886652784
80,774094,20.8467658974359,5.719887364911477,59606.9462297425,10421,241081,0,1,-0.08396204560995102,5.7198872566223145,10.076904296875,0.0,28.28066635131836,0.2149406224489212,26.06435203552246,26.0665340423584,3161,523 526 545 629 678 865 846 5810,nan,nan,nan,nan,0.99,0.3,0.0001,10421,14.81163183411662
81,774095,23.04565538461539,6.946296385476347,71199.53795113256,10250,240723,0,1,-0.10659783333539963,6.946296215057373,68.10404205322266,0.0,6820.5546875,0.2605140209197998,26.0665340423584,26.06865882873535,3004,481 478 532 617 655 811 786 5891,nan,nan,nan,nan,0.99,0.3,0.0001,10250,16.240468712174952
82,774096,41.480898974358965,14.846735466178663,122634.03495063576,8260,196759,0,1,-0.09004629403352737,14.846735000610352,12.155950546264648,0.0,28.280744552612305,0.22233791649341583,26.06865882873535,26.070707321166992,2573,378 365 380 433 497 545 515 5148,nan,nan,nan,nan,0.99,0.3,0.0001,8260,35.85879789354915
83,774097,40.78268794871794,25.32109170046558,211431.1156988876,8350,199575,0,1,-0.0685337632894516,25.32109260559082,962.6084594726562,0.0,87974.3828125,0.19461877644062042,26.070707321166992,26.072694778442383,2540,379 367 359 419 459 522 520 5326,nan,nan,nan,nan,0.99,0.3,0.0001,8350,35.326845365709126
